City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hohr-Grenzhausen,DE,50.4333,7.6667,68.04,92,13,3.65,few clouds
1,Narsaq,GL,60.9167,-46.05,59.22,53,42,4.36,scattered clouds
2,Mahebourg,MU,-20.4081,57.7,70.09,64,20,11.5,few clouds
3,Hithadhoo,MV,-0.6,73.0833,80.6,75,87,4.0,light rain
4,Hilo,US,19.7297,-155.09,82.8,85,90,4.61,light rain
5,Rikitea,PF,-23.1203,-134.9692,70.65,67,38,6.42,scattered clouds
6,Trairi,BR,-3.2778,-39.2689,80.28,68,17,12.71,few clouds
7,Broome,US,42.2506,-75.833,85.69,64,40,3.0,scattered clouds
8,Butaritari,KI,3.0707,172.7902,82.08,74,92,11.12,moderate rain
9,Provideniya,RU,64.3833,-173.3,46.51,100,90,6.71,fog
10,Tuktoyaktuk,CA,69.4541,-133.0374,48.2,93,90,17.27,light rain
11,Thompson,CA,55.7435,-97.8558,62.76,42,20,10.36,few clouds
12,Faanui,PF,-16.4833,-151.75,78.01,66,0,12.86,clear sky
13,Vaini,TO,-21.2,-175.2,75.47,83,71,4.83,broken clouds
14,Albany,US,42.6001,-73.9662,85.03,75,60,1.99,broken clouds
15,Kapaa,US,22.0752,-159.319,82.72,79,75,1.99,light rain
16,Ushuaia,AR,-54.8,-68.3,37.06,75,40,20.71,scattered clouds
17,Sitka,US,57.0531,-135.33,57.09,77,75,5.75,light rain
18,Qaanaaq,GL,77.484,-69.3632,40.53,71,80,5.68,broken clouds
19,Patan,NP,27.6667,85.3333,70.18,100,75,2.3,moderate rain
20,Saint-Philippe,RE,-21.3585,55.7679,69.35,77,36,11.92,scattered clouds
21,Victoria,HK,22.2855,114.1577,86.38,84,16,1.99,few clouds
22,Luwuk,ID,-0.9516,122.7875,75.29,85,76,4.18,broken clouds
23,Sulangan,PH,11.1373,123.7228,84.0,72,56,14.97,broken clouds
24,Kurumkan,RU,54.3,110.3,60.4,67,59,2.93,broken clouds
25,Codrington,AU,-38.2667,141.9667,50.04,94,73,14.32,broken clouds
26,Margate,GB,51.3813,1.3862,66.04,88,45,1.01,scattered clouds
27,Washington,US,47.5001,-120.5015,92.93,20,3,5.84,clear sky
28,Bredasdorp,ZA,-34.5322,20.0403,45.72,93,100,3.44,overcast clouds
29,Vuktyl,RU,63.8567,57.3094,50.36,76,99,4.97,overcast clouds
30,Pisco,PE,-13.7,-76.2167,66.25,72,0,9.22,clear sky
31,Taungdwingyi,MM,20.0167,95.55,76.23,89,100,9.37,overcast clouds
32,Rosamorada,MX,22.1222,-105.2058,94.44,49,6,6.8,clear sky
33,Avarua,CK,-21.2078,-159.775,75.25,88,40,4.61,scattered clouds
34,Pangnirtung,CA,66.1451,-65.7125,46.4,100,90,10.36,overcast clouds
35,Bluff,NZ,-46.6,168.3333,46.8,87,100,4.81,moderate rain
36,Ayan,RU,56.45,138.1667,60.28,94,90,1.03,overcast clouds
37,Hongjiang,CN,27.11,109.9956,73.08,95,0,1.52,clear sky
